alpha2,alpha3,name,aliases
ar,ara,Arabic,
bs,bos,Bosnian,
bg,bul,Bulgarian,bbgaudio
ca,cat,Catalan,Valencian|catalán
zh,chi,Chinese,cn|Mandarin|Cantonese|简|繁|字幕
cs,cze,Czech,cz
da,dan,Danish,
nl,dut,Dutch,Flemish
en,eng,English,ing
et,est,Estonian,
fi,fin,Finnish,
fr,fre,French,FR|VF|VF2|VFF|VFQ|TRUEFRENCH
de,ger,German,
el,gre,Greek,
he,heb,Hebrew,HEBDUB
hi,hin,Hindi,
hr,hrv,Croatian,
hu,hun,Hungarian,HUNDUB
is,ice,Icelandic,
id,ind,Indonesian,
it,ita,Italian,
ja,jpn,Japanese,
ko,kor,Korean,
lv,lav,Latvian,
lt,lit,Lithuanian,
mk,mac,Macedonian,
ml,mal,Malayalam,
no,nor,Norwegian,
fa,per,Persian,
pl,pol,Polish,
pt,por,Portuguese,
ro,rum,Romanian,Moldavian|Moldovan|rodubbed
ru,rus,Russian,
sk,slo,Slovak,
sl,slv,Slovenian,
es,spa,Spanish,Castilian|castellano|Español|esp|Latino|lat
sr,srp,Serbian,
sv,swe,Swedish,
ta,tam,Tamil,
th,tha,Thai,
tr,tur,Turkish,
uk,ukr,Ukrainian,
vi,vie,Vietnamese,
af,afr,Afrikaans,
hy,arm,Armenian,
az,aze,Azerbaijani,
eu,baq,Basque,
be,bel,Belarusian,
ce,che,Chechen,
co,cos,Corsican,
ka,geo,Georgian,
ku,kur,Kurdish,
mi,mao,Maori,
ms,may,Malay,
mt,mlt,Maltese,
mn,mon,Mongolian,
sa,san,Sanskrit,
sm,smo,Samoan,
so,som,Somali,
cy,wel,Welsh,
yi,yid,Yiddish,
zu,zul,Zulu,
